#,Page / Component / Hook,File Path,Line #,Method,Endpoint,Auth Required,Request Body,Query Params,State Management,Fetching Library,Trigger Type,Criticality,Schema Status,Schema Evidence
109,Page: /dashboard/seats,app/dashboard/seats/page.tsx:57,57,GET,/admin/seats/${id}/history/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/seats/{id}/history/ found in schema.yml.
110,Page: /dashboard/seats,app/dashboard/seats/page.tsx:62,62,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
111,Page: /dashboard/seats,app/dashboard/seats/page.tsx:74,74,POST,/admin/seats/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/seats/ found in schema.yml.
112,Page: /dashboard/seats,app/dashboard/seats/page.tsx:92,92,PUT,/admin/seats/${id}/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PUT /api/v1/admin/seats/{id}/ found in schema.yml.
113,Page: /dashboard/seats,app/dashboard/seats/page.tsx:105,105,POST,/admin/seats/${id}/assign/,Yes (Bearer via interceptor),{ student_id },student_id,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/seats/{id}/assign/ found in schema.yml.
114,Page: /dashboard/seats,app/dashboard/seats/page.tsx:119,119,POST,/admin/seats/${id}/unassign/,Yes (Bearer via interceptor),{ reason },—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/seats/{id}/unassign/ found in schema.yml.
115,Page: /dashboard/seats,app/dashboard/seats/page.tsx:130,130,POST,/admin/floors/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/floors/ found in schema.yml.
116,Page: /dashboard/seats,app/dashboard/seats/page.tsx:143,143,POST,/admin/seats/release-all/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,FAIL,/api/v1/admin/seats/release-all/ not found in schema.yml.
117,Page: /dashboard/seats,app/dashboard/seats/page.tsx:152,152,POST,/admin/rows/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/rows/ found in schema.yml.
118,Page: /dashboard/seats,app/dashboard/seats/page.tsx:166,166,DELETE,/admin/floors/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/floors/{id}/ found in schema.yml.
119,Page: /dashboard/seats,app/dashboard/seats/page.tsx:172,172,DELETE,/admin/rows/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/rows/{id}/ found in schema.yml.
120,Page: /dashboard/seats,app/dashboard/seats/page.tsx:178,178,DELETE,/admin/seats/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,FAIL,"/api/v1/admin/seats/{id}/ exists, but schema methods are GET, PUT."
121,Page: /dashboard/seats,app/dashboard/seats/page.tsx:188,188,POST,/admin/seats/reserve-bulk/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,FAIL,/api/v1/admin/seats/reserve-bulk/ not found in schema.yml.
122,Page: /dashboard/settings,app/dashboard/settings/page.tsx:30,30,POST,/auth/change-password/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/auth/change-password/ found in schema.yml.
123,Page: /dashboard/settings,app/dashboard/settings/page.tsx:46,46,GET,/admin/settings/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/settings/ found in schema.yml.
124,Page: /dashboard/settings,app/dashboard/settings/page.tsx:76,76,PUT,/admin/settings/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,see component,High,PASS,PUT /api/v1/admin/settings/ found in schema.yml.
125,app/dashboard/sliders/components/SliderModal.tsx,app/dashboard/sliders/components/SliderModal.tsx:76,76,PUT,/admin/sliders/${id}/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),see component,High,PASS,PUT /api/v1/admin/sliders/{id}/ found in schema.yml.
126,app/dashboard/sliders/components/SliderModal.tsx,app/dashboard/sliders/components/SliderModal.tsx:78,78,POST,/admin/sliders/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),see component,High,PASS,POST /api/v1/admin/sliders/ found in schema.yml.
127,Page: /dashboard/sliders,app/dashboard/sliders/page.tsx:22,22,GET,/admin/sliders/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/sliders/ found in schema.yml.
128,Page: /dashboard/sliders,app/dashboard/sliders/page.tsx:26,26,DELETE,/admin/sliders/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,High,PASS,DELETE /api/v1/admin/sliders/{id}/ found in schema.yml.
129,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:47,47,GET,/admin/students/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/students/{id}/ found in schema.yml.
130,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:48,48,GET,/admin/students/${id}/timeline/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,FAIL,/api/v1/admin/students/{id}/timeline/ not found in schema.yml.
131,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:49,49,GET,/admin/students/${id}/payments/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,FAIL,/api/v1/admin/students/{id}/payments/ not found in schema.yml.
132,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:50,50,GET,/admin/students/${id}/attendance/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,FAIL,/api/v1/admin/students/{id}/attendance/ not found in schema.yml.
133,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:51,51,GET,/admin/memberships/,Yes (Bearer via interceptor),—,"page_size, student_id",React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/memberships/ found in schema.yml.
134,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:54,54,GET,/admin/students/${id}/analytics/,Yes (Bearer via interceptor),—,period,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/students/{id}/analytics/ found in schema.yml.
135,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:58,58,PUT,/admin/students/${id}/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,on-mount/query,High,PASS,PUT /api/v1/admin/students/{id}/ found in schema.yml.
136,app/dashboard/students/[id]/StudentDetailClient.tsx,app/dashboard/students/[id]/StudentDetailClient.tsx:68,68,POST,/admin/students/${id}/photo/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,POST /api/v1/admin/students/{id}/photo/ found in schema.yml.
137,Page: /dashboard/students,app/dashboard/students/page.tsx:82,82,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/students/ found in schema.yml.
138,Page: /dashboard/students,app/dashboard/students/page.tsx:89,89,GET,/admin/students/counts/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/students/counts/ found in schema.yml.
139,Page: /dashboard/students,app/dashboard/students/page.tsx:93,93,POST,/admin/students/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,on-mount/query,High,PASS,POST /api/v1/admin/students/ found in schema.yml.
140,Page: /dashboard/students,app/dashboard/students/page.tsx:109,109,POST,/admin/students/${id}/suspend/,Yes (Bearer via interceptor),{ reason },—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/students/{id}/suspend/ found in schema.yml.
141,Page: /dashboard/students,app/dashboard/students/page.tsx:120,120,POST,/admin/students/${id}/activate/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/students/{id}/activate/ found in schema.yml.
142,Page: /dashboard/students,app/dashboard/students/page.tsx:130,130,DELETE,/admin/students/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/students/{id}/ found in schema.yml.
143,Page: /dashboard/students,app/dashboard/students/page.tsx:173,173,GET,/admin/students/export/,Yes (Bearer via interceptor),—,format,React Query wrapper/call site,axios api client (blob download),on-click,Medium,PASS,GET /api/v1/admin/students/export/ found in schema.yml.
144,Page: /login,app/login/page.tsx:36,36,POST,/api/auth/login,Cookie/local Next route,payload argument,—,React Query wrapper/call site,axios (local Next route),mutation/user-action,High,LOCAL_ROUTE,Next route handler; backend target is checked as a direct fetch call.
145,components/features/students/StudentAttendanceCalendar.tsx,components/features/students/StudentAttendanceCalendar.tsx:30,30,GET,/admin/settings/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/settings/ found in schema.yml.
146,components/features/students/StudentAttendanceCalendar.tsx,components/features/students/StudentAttendanceCalendar.tsx:33,33,GET,/holidays/,No/route-dependent,—,params argument,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/holidays/ found in schema.yml.
147,components/layout/GlobalSearch.tsx,components/layout/GlobalSearch.tsx:27,27,GET,/admin/search/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,FAIL,/api/v1/admin/search/ not found in schema.yml.
148,components/layout/Topbar.tsx,components/layout/Topbar.tsx:21,21,GET,/dashboard/alerts/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/dashboard/alerts/ found in schema.yml.
149,components/layout/Topbar.tsx,components/layout/Topbar.tsx:22,22,GET,/admin/inbox/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/inbox/ found in schema.yml.
150,components/ui/ServerOfflineOverlay.tsx,components/ui/ServerOfflineOverlay.tsx:23,23,SEE_SOURCE,${API_BASE_URL},route-dependent,See source,—,direct,fetch/axios direct,direct fetch,Medium,DIRECT,Inspect direct call source.
151,store/authStore.ts,store/authStore.ts:28,28,SEE_SOURCE,/api/auth/logout,route-dependent,See source,—,direct,fetch/axios direct,direct fetch,High,DIRECT,Inspect direct call source.
